City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Champerico,GT,2022-10-14 14:45:19,14.3,-91.9167,81.14,83,76,3.49
158,Kavaratti,IN,2022-10-14 14:45:20,10.5669,72.642,82.53,68,65,5.73
159,Dunedin,NZ,2022-10-14 14:45:20,-45.8742,170.5036,47.8,83,52,1.99
160,Coquimbo,CL,2022-10-14 14:45:20,-29.9533,-71.3436,56.93,82,20,11.5
161,Innisfail,AU,2022-10-14 14:45:21,-17.5333,146.0333,71.47,87,61,3.49
162,Charters Towers,AU,2022-10-14 14:45:21,-20.1,146.2667,69.98,88,4,8.99
163,Bandar-E Anzali,IR,2022-10-14 14:45:22,37.4727,49.4622,69.91,79,99,4.85
164,Provideniya,RU,2022-10-14 14:45:22,64.3833,-173.3,23.9,75,81,8.1
165,New Norfolk,AU,2022-10-14 14:45:22,-42.7826,147.0587,51.3,65,49,4.0
166,Port Lincoln,AU,2022-10-14 14:45:23,-34.7333,135.8667,55.62,62,100,8.99
167,Chapais,CA,2022-10-14 14:45:23,49.7834,-74.8492,49.78,84,97,8.25
168,Horki,BY,2022-10-14 14:45:23,54.2861,30.9842,43.7,72,67,6.35
169,Banda Aceh,ID,2022-10-14 14:45:24,5.5577,95.3222,80.26,77,100,11.68
170,Nome,US,2022-10-14 14:45:24,64.5011,-165.4064,26.67,69,0,9.22
171,Log,RU,2022-10-14 14:45:25,49.4844,43.8613,49.41,53,92,5.37
172,Murray Bridge,AU,2022-10-14 14:45:25,-35.1167,139.2667,52.12,88,0,5.03
173,Baiao,BR,2022-10-14 14:45:25,-2.7906,-49.6717,96.73,38,46,5.3
174,Millinocket,US,2022-10-14 14:45:26,45.6573,-68.7098,62.71,100,100,10.36
175,Sur,OM,2022-10-14 14:45:26,22.5667,59.5289,81.52,44,0,6.29
176,Fairbanks,US,2022-10-14 14:41:23,64.8378,-147.7164,23.81,84,0,3.44
177,Alofi,NU,2022-10-14 14:45:27,-19.0595,-169.9187,73.29,94,73,4.61
178,Esperance,AU,2022-10-14 14:45:27,-33.8667,121.9,52.7,84,17,7.54
179,Prachuap Khiri Khan,TH,2022-10-14 14:42:04,12.2167,99.75,71.47,94,95,2.59
